id,nom,ville,region,type,adresse,createdAt,nbServices
fin-010000024,Centre Hospitalier de Bourg-en-Bresse Fleyriat,Viriat,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000032,Centre Hospitalier Bugey Sud,Belley,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000065,Centre Hospitalier de Trevoux - Montpensier,Trevoux,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000081,Centre Hospitalier du Pays de Gex,Gex,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000099,Centre Hospitalier de Meximieux,Meximieux,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000107,Centre Hospitalier de Pont de Vaux,Pont de Vaux,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000115,Ch Intercommunal Ain Val de Saone - Pont de Veyle,Pont de Veyle,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000131,Ch Intercommunal Ain Val de Saone - Thoissey,Thoissey,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000180,Centre Hospitalier Public de Hauteville - Unite Esperance,Plateau d Hauteville,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000198,Centre Hospitalier Public de Hauteville - Unite Interdept,Plateau d Hauteville,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000214,Centre Hospitalier Public de Hauteville - Unite Albarine,Plateau d Hauteville,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010000495,Centre Psychotherapique de l'Ain,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010001436,Service  de Soins Infirmiers a Domicile de Pont de Veyle,Pont de Veyle,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010002129,Clinique les Arbelles,Bourg en Bresse,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010002228,Ehpad l'Ambarroise Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010002236,Cmp Enfants-Ado Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010002244,Cattg Adultes,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010002251,Hdj Adultes Chatillon,Chatillon sur Chalaronne,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010002269,Service Autonomie Aide et Soins,Miribel,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010003978,Accueil de Jour aux Lucioles,Reyrieux,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010004059,Ehpad le Clos Chevalier Ornex,Ornex,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010004398,Accueil de Jour Bon Repos Belley,Belley,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010005239,Centre Hospitalier du Haut Bugey - Geovreisset,Oyonnax,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010005379,Had de l'Hopital Prive d'Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010006286,Cattg Adultes Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010006385,Cattg Enfants-Ados Chateau-Gaillard,Chateau Gaillard,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010006401,Ssiad Ehpad Fontelune Amberieu-en-Bugey,Amberieu en Bugey,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010006526,Aural Unite Dialyse Ch Haut Bugey,Oyonnax,Auvergne-Rhône-Alpes,Autre,,2026-09-18T00:00:00.000Z,0
fin-010006799,Ehpad la Rose des Vents,Jassans Riottier,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010007078,Accueil de Jour Autonome l'Entre-Temps,Replonges,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010007300,Clinique Ambulatoire Cendaneg,Prevessin Moens,Auvergne-Rhône-Alpes,Clinique privée,,2026-09-18T00:00:00.000Z,0
fin-010007425,Ssiad Ehpad saint-Trivier-de-Courtes,St Trivier de Courtes,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010007854,Cattg Adultes Bellegarde,Valserhone,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010007862,Cattg Enfants les 4 Saisons,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010007870,Cmp Personnes Agees Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010007896,Cmp Enfants-Ados Ferney-Voltaire,Ferney Voltaire,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010007904,Hdj Adultes Montluel,Montluel,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010007920,Hdj Adultes Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010007961,Service de Soins Infirmiers a Domicile Nantua,Nantua,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010008050,Cattg Adultes Ferney-Voltaire,Ferney Voltaire,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010008217,Hdj Adultes Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010008571,Ehpad l'Oree des Sapins (chph Hauteville),Plateau d Hauteville,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010008852,Smr Orsac de l'Ain - Site de Marie Gavoty,Bourg en Bresse,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010008928,Ssiad Hauteville-Brenod,Plateau d Hauteville,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010008993,Hdj Enfants la Passerelle Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010009025,Accueil de Jour les Jardins d'Alois,Oyonnax,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010009066,Admr des Pays de Bresse,St Trivier de Courtes,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010009157,Accueil de Jour Pays de Gex,Gex,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010009223,Ehpad les Hellebores Groissiat,Groissiat,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010009314,Ssr Hotel Dieu de Fleyriat,Bourg en Bresse,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010009470,Maison de Sante les Allymes,Amberieu en Bugey,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010009496,Maison de Sante Pont-d'Ain,Pont d Ain,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010009512,Maison de Sante Bourg-en-Bresse/lehon,Bourg en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010009538,Maison de Sante Artemare,Artemare,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010009553,Maison de Sante Beynost,Beynost,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010009702,Usld Emile Pelicand,Bourg en Bresse,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010009934,Cmp Adultes Rehabilitation,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010009942,Cattg Uae Psychiatrie Generale,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010009967,Cmp Enfants-Ados Chatillon,Chatillon sur Chalaronne,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010009983,Cattg Ados Escal'Ado Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010009991,Cattg Enfants-Ado Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010010007,Cattg Adultes Montrevel,Montrevel en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010010163,Chms - Site Belley Laboratoire de Biologie Medicale,Belley,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010010171,Clinique de Chatillon,Valserhone,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010010213,Maison de Sante Bage-le-Chatel,Bage le Chatel,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010254,Maison de Sante Hauteville-Lompnes,Plateau d Hauteville,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010353,Maison de Sante Tossiat,Tossiat,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010379,Maison de Sante Chatillon-sur-Chalaronne,Chatillon sur Chalaronne,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010395,Maison de Sante St-Martin-du-Frene,St Martin du Frene,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010411,Maison de Sante Bourg-en-Bresse/nord,Bourg en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010437,Maison de Sante Marboz,Marboz,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010452,Maison de Sante St-Etienne-du-Bois,St Etienne du Bois,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010478,Maison de Sante Collonges,Collonges,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010494,Ehpad Chateau d'Angeville,Plateau d Hauteville,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010010510,Maison de Sante Lagnieu,Lagnieu,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010536,Maison de Sante de la Valliere,Ceyzeriat,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010551,Maison de Sante saint-Rambert-en-Bugey / Tenay,St Rambert en Bugey,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010593,Centre d'Echographie du Marais,Montluel,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010734,Maison de Sante Oyonnax,Oyonnax,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010759,Maison de Sante de Mezeriat,Mezeriat,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010010833,Maison de Sante Belley,Belley,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011039,Maison de Sante Bugey Rives de Rhone,Serrieres de Briord,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011179,Maison de Sante du Val Cottey,Dagneux,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011229,Maison de Sante de Versonnex,Versonnex,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011245,Maison de Sante de saint Maurice de Beynost,St Maurice de Beynost,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011252,Spasad de la Cotiere,Bourg en Bresse,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010011260,Spasad Bresse Dombes,Chatillon sur Chalaronne,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010011385,Unite de Dialyse Amberieu en Bugey,Amberieu en Bugey,Auvergne-Rhône-Alpes,Autre,,2026-09-18T00:00:00.000Z,0
fin-010011401,Maison de Sante de Poncin,Poncin,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011468,Centre de Sante Dentaire Ferney-Voltaire,Ferney Voltaire,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011484,Maison de Sante St-Denis-les-Bourg,St Denis les Bourg,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011591,Maison de Sante de Miribel,Miribel,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011617,Centre de Sante du Pays de Gex,Gex,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011641,Clinique du Souffle le Pontet,Plateau d Hauteville,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010011690,Maison de Sante Coeur des Dombes,Villars les Dombes,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011757,Maison de Sante d'Ambronay,Ambronay,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010011807,Maison de Sante de Polliat,Polliat,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012094,Accueil de Jour  Ornex,Ornex,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010012201,Cattg Adultes Belley,Belley,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010012300,Centre de Sante Hpel d'Oyonnax,Oyonnax,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012334,Maison de Sante de Montrevel en Bresse,Montrevel en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012342,Centre de Sante Departemental de l'Ain,Bourg en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012391,Service Daccueil de Jour les Loges de Canitie,Ste Croix,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010012425,Centre de Sante Dentaire Clemenceau,Oyonnax,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012441,Maison de Sante de Meximieux,Meximieux,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012482,Centre de Sante Dentaire d'Oyonnax,Oyonnax,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012508,Maison de Sante de Montmerle-sur-Saone,Montmerle sur Saone,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012540,Accueil de Jour les Lucioles (annexe),Miribel,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010012631,Maison de Sante de Gex,Gex,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012656,Centre de Sante Dentaire de saint Genis Pouilly,St Genis Pouilly,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012748,Maison de Sante de Chaleins,Chaleins,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012870,Maison de Sante Leclercq,St Didier sur Chalaronne,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010012896,Crcdc Auvergne Rhone Alpes - Ain,Bourg en Bresse,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010013084,Centre de Sante Medico-Dentaire Valserhone,Valserhone,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013100,Maison de Sante de Massieux,Massieux,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013126,Maison de Sante de Montreal-la-Cluse,Montreal la Cluse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013159,Cattg Centre de Jour de Rehabilitation Psycho-Sociale,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010013167,Cattg le Par Chemin,Bourg en Bresse,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010013324,Centre de Sante Terre Valserhone,Valserhone,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013332,Ehpad la Maison d'Arbent,Arbent,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010013670,Centre de Sante de Grand Bourg Agglomeration,Bourg en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013837,Maison de Sante des Bottes,Beynost,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013852,Maison de Sante de Mionnay,Mionnay,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010013928,Centre Medical Terre Valserhone,Valserhone,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010014017,Centre de Sante Dentaire Kersante Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010014082,Maison de Sante des Rives de l'Ain,Priay,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010780013,Ehpad le Cret de la Neige de Divonne les Bains du Ch de Gex,Divonne les Bains,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780195,Clinique Docteur Convert,Bourg en Bresse,Auvergne-Rhône-Alpes,Clinique privée,,2026-09-18T00:00:00.000Z,0
fin-010780203,Hopital Prive d'Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,Clinique privée,,2026-09-18T00:00:00.000Z,0
fin-010780278,Smr Orsac de l Ain Site de Felix Mangini,Plateau d Hauteville,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010780294,Nephrocare Ch Belley,Belley,Auvergne-Rhône-Alpes,Autre,,2026-09-18T00:00:00.000Z,0
fin-010780476,Centre Soins de Suite et Readapt Pour Adolescents de Chanay,Chanay,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010780492,Crf Romans-Ferrari,Miribel,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010780799,Smr Orsac de Lain - Site Dangeville,Plateau d Hauteville,Auvergne-Rhône-Alpes,SSR / rééducation,,2026-09-18T00:00:00.000Z,0
fin-010780849,Ehpad le Chateau de Grex Corbonod,Corbonod,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780906,Ehpad Résidence Fontelune Amberieu-en-Bugey,Amberieu en Bugey,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780914,Ehpad Residence d'Urfe,Feillens,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780922,Ehpad Residence l'Albizia a Cerdon,Cerdon,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780930,Ehpad Fondation Costaz Champagne,Champagne en Valromey,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780955,Ehpad Residence la Jonquillere Coligny,Coligny,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780963,Ehpad Maison de Retraite Bon Accueil,Lagnieu,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780971,Ehpad les Tilleuls Montluel,Montluel,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010780989,Ehpad la Riviere d'Argent Montmerle sur Saone,Montmerle sur Saone,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010781003,Ehpad Residence Docteur Perret,St Trivier de Courtes,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010781011,Ehpad  les Saulaies St Trivier sur Moignans,St Trivier sur Moignans,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010781029,Ehpad la Maison a Soie Tenay,Tenay,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010781037,Ehpad Public de Villars-les-Dombes,Villars les Dombes,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010781045,Ehpad saint Vincent Valserhone,Valserhone,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010781078,Ehpad la Catherinette Pont d'Ain,Pont d Ain,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784106,Ehpad Soeur Rosalie,Confort,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784114,Ehpad Residence Ary Geoffray Villereversure,Villereversure,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784130,Ehpad la Valserine,Valserhone,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784312,Ehpad Emile Pelicand,Bourg en Bresse,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784353,Ehpad Clairval,Reyrieux,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784429,Ehpad du Chavs Site Pont de Veyle Thoissey Montmerle,Pont de Veyle,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784437,Ehpad Annexe Ch Ain Val de Saone Site Thoissey,Thoissey,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784510,Ehpad Ch Pays de Gex Sites Gex Divonne,Gex,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784692,Ehpad Residence Bon Sejour Miribel,Miribel,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010784759,Centre de Sante Dentaire Oxance Bourg-en-Bresse,Bourg en Bresse,Auvergne-Rhône-Alpes,Centre de santé,,2026-09-18T00:00:00.000Z,0
fin-010784817,Ssiad Asdomi Bourg-en-Bresse,Viriat,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010785277,Service Autonomie Aide et Soins,Oyonnax,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010785285,Service de Soins Infirmiers a Domicile Belley,Belley,Auvergne-Rhône-Alpes,Domicile / SSIAD,,2026-09-18T00:00:00.000Z,0
fin-010785673,Ehpad Bon Repos Belley,Belley,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010785681,Ehpad Residence les Mimosas St Maurice de Beynost,St Maurice de Beynost,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010785822,Residence les Amethystes,Beligneux,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786002,Residence le Domaine du Chapuis,Romans,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786010,Ehpad du Ch Belley,Belley,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786036,Ehpad Ch du Haut Bugey le Jardin des Saisons,Nantua,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786077,Ehpad Ch du  Haut Bugey le Tournant des Saisons,Oyonnax,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786085,Ehpad Michel Poisat Ch Pont de Vaux,Pont de Vaux,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786101,Ehpad le Petit Chene St-Rambert-en-Bugey,St Rambert en Bugey,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786119,Ehpad des Mille Etangs a Chalamont,Chalamont,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786135,Ehpad la Maison Bouchacourt St Laurent sur Saone,St Laurent sur Saone,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786143,Ehpad  de Meximieux Sites la Rose d'Or et Ch,Meximieux,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786150,Ehpad Site du Ch de Meximieux,Meximieux,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786176,Ehpad St Joseph Jasseron,Jasseron,Auvergne-Rhône-Alpes,EHPAD,,2026-09-18T00:00:00.000Z,0
fin-010786556,Centre de Consultations Avancees Contre le Cancer  Fleyriat,Viriat,Auvergne-Rhône-Alpes,Hôpital public,,2026-09-18T00:00:00.000Z,0
fin-010786705,Cmp Enfants-Ados St Maurice de Beynost,St Maurice de Beynost,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010786713,Cmp Adultes Belley,Belley,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010786721,Cmp Enfants-Ado Amberieu,Amberieu en Bugey,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
fin-010786754,Centre Medico-Psychologique Adultes Bellegarde-sur-Valserine,Valserhone,Auvergne-Rhône-Alpes,Psychiatrie,,2026-09-18T00:00:00.000Z,0
